date,p,variant
2022-08-15,0.0012817226352218603,other
2022-08-29,0.9976928992566008,oba
2022-08-29,0.0007690335811331162,obq1
2022-08-29,0.0015380671622661213,other
2022-09-12,0.9948731094591129,oba
2022-09-12,0.0030761343245323536,obq1
2022-09-12,0.0020507562163547544,other
2022-09-26,0.9841066393232504,oba
2022-09-26,0.013586259933350386,obq1
2022-09-26,0.0005126890540886331,oxbb
2022-09-26,0.0017944116893106044,other
2022-10-10,0.00025634452704436945,delta
2022-10-10,0.9438605485772879,oba
2022-10-10,0.05024352730069204,obq1
2022-10-10,0.0025634452704434985,oxbb
2022-10-10,0.00025634452704437205,och11
2022-10-10,0.0028197897974878705,other
2022-10-24,0.8651627787746731,oba
2022-10-24,0.12586516277877458,obq1
2022-10-24,0.005895924122020113,oxbb
2022-10-24,0.00025634452704437205,och11
2022-10-24,0.0028197897974878705,other
2022-11-07,0.7221225326839271,oba
2022-11-07,0.2609587285311459,obq1
2022-11-07,0.013073570879261642,oxbb
2022-11-07,0.0012817226352217492,och11
2022-11-07,0.0025634452704436095,other
2022-11-21,0.5467828761855934,oba
2022-11-21,0.41963599077159697,obq1
2022-11-21,0.02819789797487826,oxbb
2022-11-21,0.0028197897974877595,och11
2022-11-21,0.0025634452704436095,other
2022-12-05,0.3896436811074083,oba
2022-12-05,0.5496026659830812,obq1
2022-12-05,0.052806972571135646,oxbb
2022-12-05,0.004870546013842625,och11
2022-12-05,0.0030761343245322426,other
2022-12-19,0.27787746731607277,oba
2022-12-19,0.6193283773391438,obq1
2022-12-19,0.0927967187900538,oxbb
2022-12-19,0.006921302230197379,och11
2022-12-19,0.0030761343245322426,other
2023-01-02,0.20533196616252244,oba
2023-01-02,0.6331709817995383,obq1
2023-01-02,0.1468854139964113,oxbb
2023-01-02,0.010766470135862516,och11
2023-01-02,0.0038451679056653587,other
2023-01-16,0.13970776723916947,oba
2023-01-16,0.5378108177390413,obq1
2023-01-16,0.3022301973852858,oxbb
2023-01-16,0.015637016149705252,och11
2023-01-16,0.004614201486798253,other
2023-01-30,0.0728018456805947,oba
2023-01-30,0.37836452191745706,obq1
2023-01-30,0.5288387592924891,oxbb
2023-01-30,0.01666239425788263,och11
2023-01-30,0.0033324788515765036,other
2023-02-13,0.03922071263778518,oba
2023-02-13,0.24839784670597284,obq1
2023-02-13,0.6941809792360932,oxbb
2023-02-13,0.01409894898743913,och11
2023-02-13,0.00410151243270962,other
2023-02-27,0.020251217636503473,oba
2023-02-27,0.13765701102281466,obq1
2023-02-27,0.8287618559343757,oxbb
2023-02-27,0.010510125608818366,och11
2023-02-27,0.0028197897974878705,other
2023-03-13,0.011279159189951309,oba
2023-03-13,0.07767239169443732,obq1
2023-03-13,0.8982312227633938,oxbb
2023-03-13,0.009484747500640989,och11
2023-03-13,0.0033324788515765036,other
2023-03-27,0.007177646757241725,oba
2023-03-27,0.04614201486798257,obq1
2023-03-27,0.9356575237118687,oxbb
2023-03-27,0.00845936939246339,och11
2023-03-27,0.00025634452704437205,oeg51
2023-03-27,0.0023071007433992374,other
2023-04-10,0.004357856959753916,oba
2023-04-10,0.02102025121763651,obq1
2023-04-10,0.9612919764163034,oxbb
2023-04-10,0.010253781081773994,och11
2023-04-10,0.0005126890540886331,oeg51
2023-04-10,0.0025634452704436095,other
2023-04-24,0.005383235067931321,oba
2023-04-24,0.013073570879261712,obq1
2023-04-24,0.9666752114842349,oxbb
2023-04-24,0.009484747500640767,och11
2023-04-24,0.0015380671622660103,oeg51
2023-04-24,0.0038451679056653587,other
2023-05-08,0.004614201486798249,oba
2023-05-08,0.008972058446552165,obq1
2023-05-08,0.9728274801332991,oxbb
2023-05-08,0.009741092027685139,och11
2023-05-08,0.0015380671622661213,oeg51
2023-05-08,0.0023071007433992374,other
2023-05-22,0.003588823378620881,oba
2023-05-22,0.005639579594975654,obq1
2023-05-22,0.9715457574980773,oxbb
2023-05-22,0.009484747500640989,och11
2023-05-22,0.005895924122019891,oeg51
2023-05-22,0.0038451679056653587,other
2023-06-05,0.003845167905665214,oba
2023-06-05,0.002307100743399143,obq1
2023-06-05,0.9605229428351703,oxbb
2023-06-05,0.010766470135862738,och11
2023-06-05,0.017175083311971262,oeg51
2023-06-05,0.005383235067931369,other
2023-06-19,0.004101512432709583,oba
2023-06-19,0.003076134324532142,obq1
2023-06-19,0.9387336580364009,oxbb
2023-06-19,0.012817226352217381,och11
2023-06-19,0.03563188925916427,oeg51
2023-06-19,0.005639579594975741,other
2023-07-03,0.0020507562163547734,oba
2023-07-03,0.00205075621635481,obq1
2023-07-03,0.9243783645219174,oxbb
2023-07-03,0.013586259933350386,och11
2023-07-03,0.052806972571135535,oeg51
2023-07-03,0.00025634452704437205,ohk3
2023-07-03,0.004870546013842736,other
2023-07-17,0.0015380671622661074,oba
2023-07-17,0.0007690335811330355,obq1
2023-07-17,0.8825942066136887,oxbb
2023-07-17,0.013329915406306014,och11
2023-07-17,0.0953601640604973,oeg51
2023-07-17,0.00025634452704448307,ohk3
2023-07-17,0.006152268649064374,other
2023-07-31,0.0007690335811330355,obq1
2023-07-31,0.8441425275570366,oxbb
2023-07-31,0.00820302486541924,och11
2023-07-31,0.1374006664957702,oeg51
2023-07-31,0.0005126890540886331,ohk3
2023-07-31,0.008972058446552356,other
2023-08-14,0.0005126890540887025,oba
2023-08-14,0.0005126890540887025,obq1
2023-08-14,0.7995385798513202,oxbb
2023-08-14,0.006664957703153007,och11
2023-08-14,0.18174826967444246,oeg51
2023-08-14,0.0012817226352217492,ohk3
2023-08-14,0.00974109202768525,other
