,other
2022-08-21,0.001347
2022-08-22,0.001367
2022-08-23,0.001389
2022-08-24,0.001413
2022-08-25,0.001437
2022-08-26,0.001463
2022-08-27,0.001488
2022-08-28,0.001513
2022-08-29,0.001538
2022-08-30,0.001567
2022-08-31,0.001602
2022-09-01,0.001644
2022-09-02,0.00169
2022-09-03,0.001738
2022-09-04,0.001788
2022-09-05,0.001837
2022-09-06,0.001885
2022-09-07,0.001929
2022-09-08,0.001969
2022-09-09,0.002003
2022-09-10,0.002028
2022-09-11,0.002045
2022-09-12,0.002051
2022-09-13,0.002047
2022-09-14,0.002037
2022-09-15,0.00202
2022-09-16,0.002
2022-09-17,0.001976
2022-09-18,0.00195
2022-09-19,0.001923
2022-09-20,0.001895
2022-09-21,0.001869
2022-09-22,0.001845
2022-09-23,0.001825
2022-09-24,0.001809
2022-09-25,0.001798
2022-09-26,0.001794
2022-09-27,0.001809
2022-09-28,0.001851
2022-09-29,0.001915
2022-09-30,0.001998
2022-10-01,0.002093
2022-10-02,0.002198
2022-10-03,0.002307
2022-10-04,0.002416
2022-10-05,0.002521
2022-10-06,0.002617
2022-10-07,0.002699
2022-10-08,0.002763
2022-10-09,0.002805
2022-10-10,0.00282
2022-10-11,0.00282
2022-10-12,0.00282
2022-10-13,0.00282
2022-10-14,0.00282
2022-10-15,0.00282
2022-10-16,0.00282
2022-10-17,0.00282
2022-10-18,0.00282
2022-10-19,0.00282
2022-10-20,0.00282
2022-10-21,0.00282
2022-10-22,0.00282
2022-10-23,0.00282
2022-10-24,0.00282
2022-10-25,0.002816
2022-10-26,0.002806
2022-10-27,0.00279
2022-10-28,0.002769
2022-10-29,0.002745
2022-10-30,0.002719
2022-10-31,0.002692
2022-11-01,0.002664
2022-11-02,0.002638
2022-11-03,0.002614
2022-11-04,0.002594
2022-11-05,0.002578
2022-11-06,0.002567
2022-11-07,0.002563
2022-11-08,0.002563
2022-11-09,0.002563
2022-11-10,0.002563
2022-11-11,0.002563
2022-11-12,0.002563
2022-11-13,0.002563
2022-11-14,0.002563
2022-11-15,0.002563
2022-11-16,0.002563
2022-11-17,0.002563
2022-11-18,0.002563
2022-11-19,0.002563
2022-11-20,0.002563
2022-11-21,0.002563
2022-11-22,0.002571
2022-11-23,0.002592
2022-11-24,0.002624
2022-11-25,0.002665
2022-11-26,0.002713
2022-11-27,0.002765
2022-11-28,0.00282
2022-11-29,0.002874
2022-11-30,0.002927
2022-12-01,0.002974
2022-12-02,0.003016
2022-12-03,0.003048
2022-12-04,0.003069
2022-12-05,0.003076
2022-12-06,0.003076
2022-12-07,0.003076
2022-12-08,0.003076
2022-12-09,0.003076
2022-12-10,0.003076
2022-12-11,0.003076
2022-12-12,0.003076
2022-12-13,0.003076
2022-12-14,0.003076
2022-12-15,0.003076
2022-12-16,0.003076
2022-12-17,0.003076
2022-12-18,0.003076
2022-12-19,0.003076
2022-12-20,0.003084
2022-12-21,0.003105
2022-12-22,0.003139
2022-12-23,0.003184
2022-12-24,0.003237
2022-12-25,0.003298
2022-12-26,0.003365
2022-12-27,0.003435
2022-12-28,0.003507
2022-12-29,0.003581
2022-12-30,0.003653
2022-12-31,0.003722
2023-01-01,0.003787
2023-01-02,0.003845
2023-01-03,0.003904
2023-01-04,0.003968
2023-01-05,0.004038
2023-01-06,0.00411
2023-01-07,0.004183
2023-01-08,0.004255
2023-01-09,0.004326
2023-01-10,0.004392
2023-01-11,0.004453
2023-01-12,0.004507
2023-01-13,0.004551
2023-01-14,0.004585
2023-01-15,0.004607
2023-01-16,0.004614
2023-01-17,0.004596
2023-01-18,0.004543
2023-01-19,0.004463
2023-01-20,0.00436
2023-01-21,0.004241
2023-01-22,0.00411
2023-01-23,0.003973
2023-01-24,0.003837
2023-01-25,0.003706
2023-01-26,0.003587
2023-01-27,0.003484
2023-01-28,0.003403
2023-01-29,0.003351
2023-01-30,0.003332
2023-01-31,0.003344
2023-02-01,0.003375
2023-02-02,0.003423
2023-02-03,0.003485
2023-02-04,0.003557
2023-02-05,0.003635
2023-02-06,0.003717
2023-02-07,0.003799
2023-02-08,0.003877
2023-02-09,0.003949
2023-02-10,0.004011
2023-02-11,0.004059
2023-02-12,0.00409
2023-02-13,0.004102
2023-02-14,0.004083
2023-02-15,0.004031
2023-02-16,0.00395
2023-02-17,0.003847
2023-02-18,0.003728
2023-02-19,0.003597
2023-02-20,0.003461
2023-02-21,0.003324
2023-02-22,0.003193
2023-02-23,0.003074
2023-02-24,0.002971
2023-02-25,0.002891
2023-02-26,0.002838
2023-02-27,0.00282
2023-02-28,0.002827
2023-03-01,0.002848
2023-03-02,0.00288
2023-03-03,0.002921
2023-03-04,0.002969
2023-03-05,0.003022
2023-03-06,0.003076
2023-03-07,0.003131
2023-03-08,0.003183
2023-03-09,0.003231
2023-03-10,0.003272
2023-03-11,0.003304
2023-03-12,0.003325
2023-03-13,0.003332
2023-03-14,0.003318
2023-03-15,0.003276
2023-03-16,0.003211
